Modelo,MAE,RMSE,MAPE,RÂ²
Ridge,1.5444279695392404,2.2489954712087585,2846237230.5763755,0.8545870004685686
Gradient_Boosting,3.7809306288461837,6.148324758111832,8963671646.435661,0.746328968732258
XGBoost,3.934768259910621,6.1790365131876985,9750651311.956059,0.7471572183235338
Random_Forest,4.460723571450884,6.73872455778556,12010848255.851,0.7373511984031963
LSTM,10.97326694897931,16.203140716962977,19358977457.242344,-0.21411766960348633
Moving_Average,11.090323232323236,16.005009181472634,inf,-0.22089921577135016
SES,11.471646522795684,16.77968118770274,inf,-0.23864856858602382
Holt_Winters,11.636059323367528,16.738424354518393,inf,-0.24930071325487507
ARIMA,12.110519680389087,16.866962619456327,inf,-0.4430921954814557
Prophet,12.464743058969994,16.899738663980873,36380816305.60224,-0.38194011524114047
SARIMA,13.012263959089585,17.67472544616077,inf,-0.6060425940300513
Naive,13.987272727272726,19.03950526137787,inf,-0.4912868683077262
